Drug Name,Manufacturer,Strength,Form,Category,Indication,Side Effects,Price
Lowplat 5ml SR-2389,GSK,5ml,Capsule,Tablets/Capsules,"Prevents blood clotting, reduces risk of heart attack, stroke, and cardiovascular events.","Increased bruising, nosebleeds, or minor bleeding.",778
Lipiget 20mg SR-2390,Ferozsons,20mg,Tablet,Tablets/Capsules,Lowers high cholesterol levels and prevents cardiovascular complications.,"Muscle pain, headache, or mild digestive issues.",1152
Velo 1g SR-2391,Sami,1g,Powder,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue.","Bloating, mild abdominal cramps.",322
Evion 30s SR-2392,Searle,30s,Capsule,Tablets/Capsules,"Vitamin E supplement for healthy muscle, skin, nerve tissue, and antioxidant protection.",None under standard dosage.,284
Lowplat 100mg SR-2393,Hilton,100mg,Tablet,Tablets/Capsules,"Prevents blood clotting, reduces risk of heart attack, stroke, and cardiovascular events.","Increased bruising, nosebleeds, or minor bleeding.",668
ORS (Nimkol) 250mg/5ml SR-2394,Barrett Hodgson,250mg/5ml,Powder,Powders/Sachets,"Oral rehydration salts to restore electrolytes lost during diarrhea, vomiting, and dehydration.",None under recommended usage.,992
Ventolin 100mg SR-2395,Novartis,100mg,Syrup,Syrups/Suspensions,"Bronchodilator to relieve wheezing, shortness of breath, asthma, and COPD symptoms.","Tremor, mild headache, or rapid heart rate.",778
Ispaghol 100mg SR-2396,Sanofi,100mg,Sachet,Powders/Sachets,"Natural psyllium husk fiber supplement for chronic constipation, bowel regularity, and cholesterol.","Mild gas, bloating, or stomach cramps.",1047
Polyfax 5ml SR-2397,Barrett Hodgson,5ml,Cream,Tubes (Creams/Gels/Ointments),Dual antibiotic skin ointment to prevent and treat bacterial skin and wound infections.,Rare allergic skin reaction.,1415
Glucophage 50mg SR-2398,Hilton,50mg,Tablet,Tablets/Capsules,Improves glycemic control in type 2 diabetes mellitus as an oral hypoglycemic.,"Gastrointestinal upset, metallic taste, or nausea.",1042
Velo 250mg SR-2399,Sami,250mg,Sachet,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue.","Bloating, mild abdominal cramps.",249
Risek 20s SR-2400,Bayer,20s,Capsule,Tablets/Capsules,"Treats gastric acidity, heartburn, gastroesophageal reflux disease (GERD), and peptic ulcers.","Headache, mild abdominal pain, or flatulence.",640
Acefyl 250mg/5ml SR-2401,Abbott,250mg/5ml,Suspension,Syrups/Suspensions,Cough expectorant and bronchodilator for relieving chest congestion and asthma.,Mild restlessness or nausea.,1228
Tusdec 250mg/5ml SR-2402,Martin Dow,250mg/5ml,Suspension,Syrups/Suspensions,"Dry cough relief, pediatric fever control, or acid reflux relief.","Drowsiness, dry mouth, mild diarrhea.",502
Hydrocortisone 250mg SR-2403,Sanofi,250mg,Cream,Tubes (Creams/Gels/Ointments),"Mild corticosteroid cream for localized allergic reactions, insect bites, and eczema.",Mild localized burning or redness.,619
Velo 15g SR-2404,Hilton,15g,Powder,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue.","Bloating, mild abdominal cramps.",627
Hydrocortisone 500mg SR-2405,Bayer,500mg,Gel,Tubes (Creams/Gels/Ointments),"Mild corticosteroid cream for localized allergic reactions, insect bites, and eczema.",Mild localized burning or redness.,1187
Klaricid 50s SR-2406,Ferozsons,50s,Tablet,Tablets/Capsules,Macrolide antibiotic for respiratory tract and skin infections.,"Diarrhea, nausea, or altered taste.",344
Dermovate 10mg SR-2407,Hilton,10mg,Ointment,Tubes (Creams/Gels/Ointments),"Highly potent corticosteroid for severe eczema, psoriasis, and resistant dermatoses.","Local burning, skin thinning, or mild redness.",940
Bonjela 10s SR-2408,Abbott,10s,Powder,Powders/Sachets,"Teething gel and ulcer powder for fast relief of mouth pain, ulcers, and sore gums.",Mild transient stinging.,120
Smecta 10s SR-2409,Pfizer,10s,Powder,Powders/Sachets,Natural clay absorbent sachet for symptomatic relief of acute diarrhea in adults and children.,Constipation (rare) or mild bloating.,936
Betnovate-N 250mg SR-2410,Getz Pharma,250mg,Ointment,Tubes (Creams/Gels/Ointments),"Corticosteroid and antibacterial cream for eczema, dermatitis, and skin inflammatory conditions.","Mild burning sensation, localized skin thinning, or redness.",96
Glucophage 250mg SR-2411,Ferozsons,250mg,Tablet,Tablets/Capsules,Improves glycemic control in type 2 diabetes mellitus as an oral hypoglycemic.,"Gastrointestinal upset, metallic taste, or nausea.",1152
Velo 40mg SR-2412,Searle,40mg,Sachet,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue.","Bloating, mild abdominal cramps.",470
Mobic Gel 250mg SR-2413,Getz Pharma,250mg,Cream,Tubes (Creams/Gels/Ointments),"Topical anti-inflammatory gel for localized relief of muscular pain, sprains, and arthritis.",Mild skin irritation or dry skin.,1434
Ispaghol 5ml SR-2414,PharmEvo,5ml,Sachet,Powders/Sachets,"Natural psyllium husk fiber supplement for chronic constipation, bowel regularity, and cholesterol.","Mild gas, bloating, or stomach cramps.",759
Polyfax 10mg SR-2415,GSK,10mg,Cream,Tubes (Creams/Gels/Ointments),Dual antibiotic skin ointment to prevent and treat bacterial skin and wound infections.,Rare allergic skin reaction.,1499
Voltral Gel 250mg SR-2416,Hilton,250mg,Ointment,Tubes (Creams/Gels/Ointments),"Topical diclofenac gel for instant relief of joint pain, backache, sprains, and osteoarthritis.",Safe locally. Rare skin rash or redness.,429
Sancos 10s SR-2417,GSK,10s,Suspension,Syrups/Suspensions,"Cough suppressant syrup to control dry, tickly, non-productive coughs.",Mild drowsiness or dry throat.,471
Betnovate-N 1g SR-2418,Hilton,1g,Gel,Tubes (Creams/Gels/Ointments),"Corticosteroid and antibacterial cream for eczema, dermatitis, and skin inflammatory conditions.","Mild burning sensation, localized skin thinning, or redness.",939
Fucidin 30s SR-2419,Sanofi,30s,Cream,Tubes (Creams/Gels/Ointments),"Topical antibiotic cream for bacterial skin infections, impetigo, and infected eczema.",Rare local hypersensitivity reaction.,739
Fesovit 50mg SR-2420,Hilton,50mg,Sachet,Powders/Sachets,"Iron, folic acid, and vitamin supplement to treat nutritional anemia and weakness.",Dark stools or mild digestive discomfort.,245
Ventolin 40mg SR-2421,Barrett Hodgson,40mg,Suspension,Syrups/Suspensions,"Bronchodilator to relieve wheezing, shortness of breath, asthma, and COPD symptoms.","Tremor, mild headache, or rapid heart rate.",1216
Hydrozole 250mg SR-2422,Bayer,250mg,Ointment,Tubes (Creams/Gels/Ointments),Dual action antifungal and anti-inflammatory cream for fungal skin infections and eczema.,Mild localized burning or irritation.,640
Instaflex 30g SR-2423,Novartis,30g,Sachet,Powders/Sachets,"Electrolyte replenishment, joint health support, or chronic fatigue.","Bloating, mild abdominal cramps.",941
Co-Amoxiclav 20g SR-2424,Searle,20g,Syrup,Syrups/Suspensions,"Combined antibiotic for severe respiratory, urinary, and dental bacterial infections.","Diarrhea, nausea, or localized rash.",917
Cac-1000 10s SR-2425,Hilton,10s,Suspension,Powders/Sachets,"Calcium, Vitamin C, D3, and B6 supplement for strong bones and energy boost.",Mild stomach upset or bloating.,1358
Gravinate 1g SR-2426,Bosch,1g,Syrup,Syrups/Suspensions,"Prevents and treats nausea, vomiting, motion sickness, and vertigo.","Drowsiness, dry mouth, or blurred vision.",1082
Tusdec 20g SR-2427,Barrett Hodgson,20g,Syrup,Syrups/Suspensions,"Dry cough relief, pediatric fever control, or acid reflux relief.","Drowsiness, dry mouth, mild diarrhea.",399
Somogel 250mg/5ml SR-2428,Martin Dow,250mg/5ml,Cream,Tubes (Creams/Gels/Ointments),"Antiseptic and pain relieving gel for mouth ulcers, teething pain, and gum inflammation.",Transient mild stinging or tingling sensation.,833
Cranmax 15g SR-2429,Searle,15g,Powder,Powders/Sachets,Cranberry extract sachet to prevent urinary tract infections (UTIs) and support urinary health.,Mild stomach upset under high dose.,915
Entamizole 5ml SR-2430,GSK,5ml,Tablet,Tablets/Capsules,"Treats mixed amoebic and bacterial dysentery, diarrhea, and dental infections.","Metallic taste, dark urine, or nausea.",150
Fucidin 50s SR-2431,Getz Pharma,50s,Cream,Tubes (Creams/Gels/Ointments),"Topical antibiotic cream for bacterial skin infections, impetigo, and infected eczema.",Rare local hypersensitivity reaction.,372
Gravinate 40mg SR-2432,GSK,40mg,Syrup,Syrups/Suspensions,"Prevents and treats nausea, vomiting, motion sickness, and vertigo.","Drowsiness, dry mouth, or blurred vision.",786
Calpol Syrup 15g SR-2433,Bosch,15g,Suspension,Syrups/Suspensions,"Pediatric paracetamol syrup for rapid relief of infant fever, immunization pain, and teething.",Safe under recommended dose.,291
Azomax 250mg SR-2434,Getz Pharma,250mg,Tablet,Tablets/Capsules,"Treats bacterial infections of respiratory tract, ENT, skin, and urinary tract.","Nausea, diarrhea, abdominal discomfort, or skin rash.",567
Mucaine 1g SR-2435,Abbott,1g,Suspension,Syrups/Suspensions,"Antacid gel for relief of stomach acidity, heartburn, and peptic ulcer pain.","Constipation, diarrhea, or dry mouth.",1230
Entamizole 20mg SR-2436,Searle,20mg,Capsule,Tablets/Capsules,"Treats mixed amoebic and bacterial dysentery, diarrhea, and dental infections.","Metallic taste, dark urine, or nausea.",1075
Hydrocortisone 1g SR-2437,Getz Pharma,1g,Ointment,Tubes (Creams/Gels/Ointments),"Mild corticosteroid cream for localized allergic reactions, insect bites, and eczema.",Mild localized burning or redness.,1242
Cac-1000 250mg SR-2438,Abbott,250mg,Suspension,Powders/Sachets,"Calcium, Vitamin C, D3, and B6 supplement for strong bones and energy boost.",Mild stomach upset or bloating.,1355
Voltral Gel 20g SR-2439,Pfizer,20g,Cream,Tubes (Creams/Gels/Ointments),"Topical diclofenac gel for instant relief of joint pain, backache, sprains, and osteoarthritis.",Safe locally. Rare skin rash or redness.,598
Arinac Forte 250mg/5ml SR-2440,Sami,250mg/5ml,Capsule,Tablets/Capsules,"Relieves nasal congestion, sinus pressure, fever, headache, and allergic rhinitis.","Mild drowsiness, dry mouth, or increased heart rate.",732
Dalacin-T 20s SR-2441,Martin Dow,20s,Gel,Tubes (Creams/Gels/Ointments),Topical clindamycin solution/gel for inflammatory acne treatment.,Local dryness or mild irritation.,457
Azomax 250mg/5ml SR-2442,Abbott,250mg/5ml,Capsule,Tablets/Capsules,"Treats bacterial infections of respiratory tract, ENT, skin, and urinary tract.","Nausea, diarrhea, abdominal discomfort, or skin rash.",428
Ennerzo 30s SR-2443,PharmEvo,30s,Sachet,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue recovery.","Bloating, mild abdominal cramps, increased urination.",487
Cranmax 20mg SR-2444,Barrett Hodgson,20mg,Powder,Powders/Sachets,Cranberry extract sachet to prevent urinary tract infections (UTIs) and support urinary health.,Mild stomach upset under high dose.,294
Tusdec 20g SR-2445,Searle,20g,Suspension,Syrups/Suspensions,"Dry cough relief, pediatric fever control, or acid reflux relief.","Drowsiness, dry mouth, mild diarrhea.",742
Pulmonol 1g SR-2446,Bosch,1g,Syrup,Syrups/Suspensions,Cough expectorant to clear lung congestion and ease throat irritation.,Mild stomach upset or drowsiness.,443
Voltral Gel 20mg SR-2447,Sanofi,20mg,Gel,Tubes (Creams/Gels/Ointments),"Topical diclofenac gel for instant relief of joint pain, backache, sprains, and osteoarthritis.",Safe locally. Rare skin rash or redness.,181
Ennerzo 50s SR-2448,Sami,50s,Sachet,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue recovery.","Bloating, mild abdominal cramps, increased urination.",731
Arinac Forte 5ml SR-2449,Bosch,5ml,Tablet,Tablets/Capsules,"Relieves nasal congestion, sinus pressure, fever, headache, and allergic rhinitis.","Mild drowsiness, dry mouth, or increased heart rate.",1109
Polyfax 15g SR-2450,Hilton,15g,Cream,Tubes (Creams/Gels/Ointments),Dual antibiotic skin ointment to prevent and treat bacterial skin and wound infections.,Rare allergic skin reaction.,594
Azomax 10s SR-2451,GSK,10s,Capsule,Tablets/Capsules,"Treats bacterial infections of respiratory tract, ENT, skin, and urinary tract.","Nausea, diarrhea, abdominal discomfort, or skin rash.",782
Hydrocortisone 20mg SR-2452,Searle,20mg,Gel,Tubes (Creams/Gels/Ointments),"Mild corticosteroid cream for localized allergic reactions, insect bites, and eczema.",Mild localized burning or redness.,1320
Citra-Alka 40mg SR-2453,Getz Pharma,40mg,Powder,Powders/Sachets,"Systemic alkalizer sachet for symptomatic relief of burning micturition, cystitis, and gout.",Mild bloating or nausea.,775
ORS (Nimkol) 50mg SR-2454,Hilton,50mg,Sachet,Powders/Sachets,"Oral rehydration salts to restore electrolytes lost during diarrhea, vomiting, and dehydration.",None under recommended usage.,637
Voltral Gel 10mg SR-2455,Searle,10mg,Cream,Tubes (Creams/Gels/Ointments),"Topical diclofenac gel for instant relief of joint pain, backache, sprains, and osteoarthritis.",Safe locally. Rare skin rash or redness.,295
Betnovate-N 100mg SR-2456,Hilton,100mg,Ointment,Tubes (Creams/Gels/Ointments),"Corticosteroid and antibacterial cream for eczema, dermatitis, and skin inflammatory conditions.","Mild burning sensation, localized skin thinning, or redness.",632
Fucidin 100mg SR-2457,Abbott,100mg,Ointment,Tubes (Creams/Gels/Ointments),"Topical antibiotic cream for bacterial skin infections, impetigo, and infected eczema.",Rare local hypersensitivity reaction.,467
Amoxil 50mg SR-2458,Getz Pharma,50mg,Tablet,Tablets/Capsules,Broad-spectrum penicillin antibiotic for systemic bacterial infections.,"Nausea, diarrhea, abdominal discomfort, or skin rash.",1013
Dalacin-T 500mg SR-2459,Sami,500mg,Gel,Tubes (Creams/Gels/Ointments),Topical clindamycin solution/gel for inflammatory acne treatment.,Local dryness or mild irritation.,1348
Dalacin-T 15g SR-2460,Sami,15g,Cream,Tubes (Creams/Gels/Ointments),Topical clindamycin solution/gel for inflammatory acne treatment.,Local dryness or mild irritation.,991
Selsun Blue 50mg SR-2461,Hilton,50mg,Ointment,Tubes (Creams/Gels/Ointments),Antidandruff shampoo and topical antifungal for seborrheic dermatitis and tinea versicolor.,Local skin irritation or hair dryness.,1054
Amoxil 20g SR-2462,Bosch,20g,Tablet,Tablets/Capsules,Broad-spectrum penicillin antibiotic for systemic bacterial infections.,"Nausea, diarrhea, abdominal discomfort, or skin rash.",68
Velo 40mg SR-2463,Barrett Hodgson,40mg,Sachet,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue.","Bloating, mild abdominal cramps.",91
Voltral Gel 30g SR-2464,Abbott,30g,Gel,Tubes (Creams/Gels/Ointments),"Topical diclofenac gel for instant relief of joint pain, backache, sprains, and osteoarthritis.",Safe locally. Rare skin rash or redness.,1190
Instaflex 5ml SR-2465,Searle,5ml,Powder,Powders/Sachets,"Electrolyte replenishment, joint health support, or chronic fatigue.","Bloating, mild abdominal cramps.",1383
Ispaghol 10s SR-2466,Bosch,10s,Powder,Powders/Sachets,"Natural psyllium husk fiber supplement for chronic constipation, bowel regularity, and cholesterol.","Mild gas, bloating, or stomach cramps.",1066
ORS (Nimkol) 20mg SR-2467,Getz Pharma,20mg,Powder,Powders/Sachets,"Oral rehydration salts to restore electrolytes lost during diarrhea, vomiting, and dehydration.",None under recommended usage.,333
Brufen 50s SR-2468,Sami,50s,Capsule,Tablets/Capsules,"Relieves inflammatory pain, swelling, rheumatoid arthritis, dental pain, and muscular pain.","Mild stomach upset, heartburn, or nausea.",634
Ventolin 30s SR-2469,Sami,30s,Suspension,Syrups/Suspensions,"Bronchodilator to relieve wheezing, shortness of breath, asthma, and COPD symptoms.","Tremor, mild headache, or rapid heart rate.",654
Lipiget 15g SR-2470,Sami,15g,Tablet,Tablets/Capsules,Lowers high cholesterol levels and prevents cardiovascular complications.,"Muscle pain, headache, or mild digestive issues.",679
Risek 30s SR-2471,Sami,30s,Capsule,Tablets/Capsules,"Treats gastric acidity, heartburn, gastroesophageal reflux disease (GERD), and peptic ulcers.","Headache, mild abdominal pain, or flatulence.",1002
Velo 15g SR-2472,Bosch,15g,Powder,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue.","Bloating, mild abdominal cramps.",681
Zovirax 250mg SR-2473,Hilton,250mg,Ointment,Tubes (Creams/Gels/Ointments),Antiviral cream for early relief and treatment of herpes labialis (cold sores).,Temporary mild stinging or dry skin.,961
Co-Amoxiclav 30g SR-2474,Ferozsons,30g,Suspension,Syrups/Suspensions,"Combined antibiotic for severe respiratory, urinary, and dental bacterial infections.","Diarrhea, nausea, or localized rash.",155
Canesten 250mg/5ml SR-2475,Barrett Hodgson,250mg/5ml,Ointment,Tubes (Creams/Gels/Ointments),"Broad-spectrum antifungal cream to treat athlete's foot, ringworm, and skin yeast infections.",Local irritation or mild redness.,683
